Course,Section,Days(MTWRF),StartTime,EndTime,Campus(M/P),ClassSize
CCE1001,110,W,1730,2000,M,60
CS1021,500,MW,1630,1720,M,150
CS1022,500,MW,1630,1720,M,80
CS1023,500,MW,1630,1720,M,150
CS1110,526,TR,1130,1245,M,129
CS1120,500,TR,1130,1245,M,40
CS1120,505,TR,1730,1845,M,40
CS1200,100,TR,1600,1715,M,40
CS1200,105,MW,1830,1945,M,40
CS1310,100,MW,930,1110,M,25
CS1310,105,TR,1630,1810,M,25
ECE2100,500,MWF,930,1020,M,126
ECE2110,500,TR,1430,1520,M,32
ECE2210,500,MWF,830,920,M,40
ECE2500,500,TR,830,920,M,86
EDMM1220,100,TR,1000,1115,M,60
EDMM1420,500,MW,1230,1320,M,120
EDMM1420,505,MW,1530,1620,M,100
EDMM1420,510,T,1830,2020,M,100
EDMM1430,500,T,1230,1410,M,36
ENGR1001,100,M,1430,1700,M,30
ENGR1002,110,M,1430,1700,M,50
ENGR1002,115,T,1330,1600,M,55
ENGR2100,100,MW,1230,1320,M,25
ENGR2100,110,TR,1130,1220,M,30
ENGR2100,115,MW,1130,1220,M,30
ENGR2100,120,MW,1230,1320,M,30
ENGR2100,125,TR,1230,1320,M,30
IEE1020,100,MWF,1030,1120,M,20
IEE1020,105,TR,830,945,M,20
IEE1020,110,TR,1000,1115,M,20
IEE1020,115,MWF,1130,1220,M,20
IEE1020,120,MWF,1230,1320,M,20
IEE1020,125,TR,1100,1215,M,20
IEE1020,130,MWF,930,1020,M,20
IEE1020,135,MWF,1030,1120,M,20
IEE1020,140,MWF,1530,1620,M,20
IEE1020,145,TR,1230,1345,M,20
IEE1020,150,TR,1130,1245,M,20
IEE1020,155,TR,1430,1545,M,20
IEE1020,165,TR,1000,1115,M,20
IEE1020,170,MWF,1430,1520,M,20
IEE1020,175,TR,1600,1715,M,20
IEE1020,180,TR,1730,1845,M,20
PAPR1000,500,MW,1000,1050,M,30
CHEG1010,500,MW,800,850,M,70
CHEG1810,100,M,1800,2120,M,48
GPS1500,500,TR,930,1045,M,160
BIOS1050,150,TR,1100,1215,M,220
